tweet,created_at
"Rektor Universitas Insan Citra Indonesia dalam sambutannya “Hari ini dgn bangga kami meluncurkan deposito wakaf UICI bersama BSI, sebuah bentuk inovasi keuangan syariah yang bertujuan mendukung keberlanjutan program pendidikan sosial dan mengembangkan sumber daya manusia di UICI”",2025-01-20 10:13:34+00:00
Rektor Universitas Kesehatan dan Teknologi Kocaeli Prof. Dr. Muzaffer Elmas dan Ketua Dewan Pembina Talip Emiroğlu telah mengunjungi Duta Besar Talip Küçükcan dan memberikan informasi tentang kegiatan dan program mereka di Indonesia. https://t.co/B3N180iHWU,2025-01-20 09:30:03+00:00
"RT @datatempo: Ternyata ayahnya Menteri Pendidikan Tinggi, Sains, dan Teknologi (Mendiktisaintek) Satryo Soemantri Brodjonegoro pernah menj…",2025-01-20 08:07:42+00:00
"Ternyata ayahnya Menteri Pendidikan Tinggi, Sains, dan Teknologi (Mendiktisaintek) Satryo Soemantri Brodjonegoro pernah menjadi Rektor Universitas Indonesia, yaitu SOEMANTRI BRODJONEGORO  - DATATEMPO https://t.co/Q2gQ3W8QyB",2025-01-20 06:34:15+00:00
"Selamat Atas Dilantiknya
DR. RUKIN, S.PD., https://t.co/elH01lgSoB.
Sebagai Wakil Rektor Universitas Al Rifa'ie Indonesia
Periode 2025-2030 https://t.co/4lJCxdBCbo",2025-01-20 03:02:07+00:00
@BosPurwa Rakyat dan mahasiswa yg bisa menghentikan semua ini KEMANA mahasiswa saat ini kok diam seribu bahasa..guru besar dan pak rektor semu universitas negeri Indonesia lagi tidur apa gimana,2025-01-19 05:11:25+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-18 10:47:16+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-18 10:46:57+00:00
"@seongwuchingu @UTmenfess Ini ya beritanya, beliau dilantik jadi Deputi Kemenko PMK

https://t.co/8Bq2uPKBtX",2025-01-18 04:23:41+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:44:09+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:42:57+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:41:55+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:40:40+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:39:05+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:38:43+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:38:06+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:37:08+00:00
RT @AgusYudhoyono: Meresmikan Gedung baru Fakultas Ilmu Administrasi (FIA) @univ_indonesia (UI) berkonsep 'green building' dengan panel sur…,2025-01-17 02:35:59+00:00
